Date,Close,Open,High,Low,Volume,Percent
2018/6/17,25090.48 ,25116.71 ,25130.82 ,24894.38 ,659.37M,-0.34%
2018/6/18,24987.47 ,24944.28 ,25003.10 ,24825.77 ,337.07M,-0.41%
2018/6/19,24700.21 ,24763.59 ,24763.59 ,24567.75 ,376.38M,-1.15%
2018/6/20,24657.80 ,24771.17 ,24804.76 ,24628.39 ,359.52M,-0.17%
2018/6/21,24461.70 ,24639.21 ,24639.21 ,24406.63 ,349.57M,-0.80%
2018/6/22,24580.89 ,24526.97 ,24663.18 ,24526.97 ,473.97M,0.49%
2018/6/23,24580.89 ,24526.97 ,24663.18 ,24526.97 ,473.97M,0.49%
2018/6/24,24580.89 ,24526.97 ,24663.18 ,24526.97 ,473.97M,0.49%
2018/6/25,24252.80 ,24463.73 ,24463.73 ,24084.39 ,439.13M,-1.33%
2018/6/26,24283.11 ,24281.89 ,24384.21 ,24241.22 ,301.13M,0.12%
2018/6/27,24117.59 ,24303.11 ,24569.02 ,24115.82 ,313.79M,-0.68%
2018/6/28,24216.05 ,24064.19 ,24308.16 ,23997.21 ,305.02M,0.41%
2018/6/29,24271.41 ,24323.93 ,24509.52 ,24269.71 ,329.07M,0.23%
2018/6/30,24271.41 ,24323.93 ,24509.52 ,24269.71 ,329.07M,0.23%
2018/7/1,24271.41 ,24323.93 ,24509.52 ,24269.71 ,329.07M,0.23%
2018/7/2,24307.18 ,24161.53 ,24319.42 ,24077.56 ,244.11M,0.15%
2018/7/3,24174.82 ,24359.39 ,24444.88 ,24150.85 ,160.96M,-0.54%
2018/7/4,24174.82 ,24359.39 ,24444.88 ,24150.85 ,160.96M,-0.54%
2018/7/5,24356.74 ,24285.82 ,24372.80 ,24177.44 ,237.67M,0.75%
2018/7/6,24456.48 ,24352.47 ,24520.29 ,24281.47 ,219.45M,0.41%
2018/7/7,24456.48 ,24352.47 ,24520.29 ,24281.47 ,219.45M,0.41%
2018/7/8,24456.48 ,24352.47 ,24520.29 ,24281.47 ,219.45M,0.41%
2018/7/9,24776.59 ,24519.20 ,24796.52 ,24518.43 ,240.58M,1.31%
2018/7/10,24919.66 ,24806.97 ,24945.38 ,24806.97 ,235.04M,0.58%
2018/7/11,24700.45 ,24789.48 ,24815.16 ,24663.82 ,237.37M,-0.88%
2018/7/12,24924.89 ,24802.90 ,24939.97 ,24802.90 ,233.15M,0.91%
2018/7/13,25019.41 ,24926.07 ,25043.21 ,24890.06 ,255.52M,0.38%
2018/7/14,25019.41 ,24926.07 ,25043.21 ,24890.06 ,255.52M,0.38%
2018/7/15,25019.41 ,24926.07 ,25043.21 ,24890.06 ,255.52M,0.38%
2018/7/16,25064.36 ,25025.58 ,25072.41 ,24979.64 ,231.27M,0.18%
2018/7/17,25119.89 ,25033.92 ,25155.39 ,24989.61 ,250.45M,0.22%
2018/7/18,25199.29 ,25133.79 ,25215.32 ,25101.12 ,252.87M,0.32%
2018/7/19,25064.50 ,25139.15 ,25154.17 ,25052.62 ,285.76M,-0.53%
2018/7/20,25058.12 ,25041.14 ,25124.10 ,24986.35 ,274.08M,-0.03%
2018/7/21,25058.12 ,25041.14 ,25124.10 ,24986.35 ,274.08M,-0.03%
2018/7/22,25058.12 ,25041.14 ,25124.10 ,24986.35 ,274.08M,-0.03%
2018/7/23,25044.29 ,25036.90 ,25081.45 ,24983.33 ,228.82M,-0.06%
2018/7/24,25241.94 ,25092.43 ,25286.62 ,25092.43 ,274.94M,0.79%
2018/7/25,25414.10 ,25183.70 ,25432.87 ,25113.55 ,273.67M,0.68%
2018/7/26,25527.07 ,25468.55 ,25587.24 ,25463.16 ,297.53M,0.44%
2018/7/27,25451.06 ,25520.52 ,25580.22 ,25370.07 ,329.68M,-0.30%
2018/7/28,25451.06 ,25520.52 ,25580.22 ,25370.07 ,329.68M,-0.30%
2018/7/29,25451.06 ,25520.52 ,25580.22 ,25370.07 ,329.68M,-0.30%
2018/7/30,25306.83 ,25439.32 ,25500.16 ,25287.38 ,296.88M,-0.57%
2018/7/31,25415.19 ,25345.21 ,25490.98 ,25345.21 ,348.70M,0.43%
2018/8/1,25333.82 ,25461.63 ,25488.80 ,25278.32 ,315.88M,-0.32%
2018/8/2,25326.16 ,25256.45 ,25360.48 ,25120.07 ,307.70M,-0.03%
2018/8/3,25462.58 ,25360.37 ,25467.90 ,25325.17 ,239.02M,0.54%
2018/8/4,25462.58 ,25360.37 ,25467.90 ,25325.17 ,239.02M,0.54%
2018/8/5,25462.58 ,25360.37 ,25467.90 ,25325.17 ,239.02M,0.54%
2018/8/6,25502.18 ,25437.43 ,25540.02 ,25381.38 ,238.99M,0.16%
2018/8/7,25628.91 ,25551.65 ,25692.72 ,25551.65 ,239.91M,0.50%
2018/8/8,25583.75 ,25615.72 ,25634.11 ,25557.48 ,217.77M,-0.18%
2018/8/9,25509.23 ,25589.79 ,25613.31 ,25492.69 ,214.97M,-0.29%
2018/8/10,25313.14 ,25401.19 ,25401.19 ,25222.88 ,234.48M,-0.77%
2018/8/11,25313.14 ,25401.19 ,25401.19 ,25222.88 ,234.48M,-0.77%
2018/8/12,25313.14 ,25401.19 ,25401.19 ,25222.88 ,234.48M,-0.77%
2018/8/13,25187.70 ,25327.19 ,25381.39 ,25153.93 ,219.99M,-0.50%
2018/8/14,25299.92 ,25215.69 ,25339.51 ,25201.87 ,219.21M,0.45%
2018/8/15,25162.41 ,25235.37 ,25235.37 ,24965.77 ,295.81M,-0.54%
2018/8/16,25558.73 ,25294.97 ,25607.34 ,25294.97 ,342.43M,1.58%
2018/8/17,25669.32 ,25550.80 ,25728.16 ,25521.66 ,284.16M,0.43%
2018/8/18,25669.32 ,25550.80 ,25728.16 ,25521.66 ,284.16M,0.43%
2018/8/19,25669.32 ,25550.80 ,25728.16 ,25521.66 ,284.16M,0.43%
2018/8/20,25758.69 ,25727.70 ,25790.17 ,25716.41 ,248.57M,0.35%
2018/8/21,25822.29 ,25786.99 ,25888.82 ,25784.90 ,241.62M,0.25%
2018/8/22,25733.60 ,25825.06 ,25836.16 ,25722.43 ,200.48M,-0.34%
2018/8/23,25656.98 ,25714.86 ,25762.56 ,25608.02 ,213.27M,-0.30%
2018/8/24,25790.35 ,25688.58 ,25826.05 ,25688.58 ,200.33M,0.52%
2018/8/25,25790.35 ,25688.58 ,25826.05 ,25688.58 ,200.33M,0.52%
2018/8/26,25790.35 ,25688.58 ,25826.05 ,25688.58 ,200.33M,0.52%
2018/8/27,26049.64 ,25882.71 ,26067.57 ,25882.71 ,220.51M,1.01%
2018/8/28,26064.02 ,26092.70 ,26122.24 ,26037.85 ,211.47M,0.06%
2018/8/29,26124.57 ,26082.53 ,26167.94 ,26035.30 ,214.96M,0.23%
2018/8/30,25986.92 ,26099.01 ,26104.37 ,25934.80 ,240.44M,-0.53%
2018/8/31,25964.82 ,25964.85 ,26028.83 ,25879.77 ,273.44M,-0.09%
2018/9/1,25964.82 ,25964.85 ,26028.83 ,25879.77 ,273.44M,-0.09%
2018/9/2,25964.82 ,25964.85 ,26028.83 ,25879.77 ,273.44M,-0.09%
2018/9/3,25964.82 ,25964.85 ,26028.83 ,25879.77 ,273.44M,-0.09%
2018/9/4,25952.48 ,25916.07 ,25971.77 ,25805.95 ,254.60M,-0.05%
2018/9/5,25974.99 ,25919.84 ,26011.22 ,25871.04 ,289.21M,0.09%
2018/9/6,25995.87 ,25973.02 ,26073.68 ,25880.84 ,262.38M,0.08%
2018/9/7,25916.54 ,25951.02 ,26002.99 ,25818.39 ,281.35M,-0.31%
2018/9/8,25916.54 ,25951.02 ,26002.99 ,25818.39 ,281.35M,-0.31%
2018/9/9,25916.54 ,25951.02 ,26002.99 ,25818.39 ,281.35M,-0.31%
2018/9/10,25857.07 ,25991.91 ,26039.96 ,25854.13 ,252.17M,-0.23%
2018/9/11,25971.06 ,25841.14 ,26019.92 ,25754.32 ,265.96M,0.44%
2018/9/12,25998.92 ,25989.07 ,26145.72 ,25929.43 ,282.77M,0.11%
2018/9/13,26145.99 ,26083.94 ,26191.64 ,26067.08 ,260.80M,0.57%
2018/9/14,26154.67 ,26169.56 ,26211.11 ,26068.29 ,228.64M,0.03%
2018/9/15,26154.67 ,26169.56 ,26211.11 ,26068.29 ,228.64M,0.03%
2018/9/16,26154.67 ,26169.56 ,26211.11 ,26068.29 ,228.64M,0.03%
2018/9/17,26062.12 ,26151.66 ,26184.47 ,26030.35 ,230.23M,-0.35%
2018/9/18,26246.96 ,26076.21 ,26317.34 ,26076.21 ,243.00M,0.71%
2018/9/19,26405.76 ,26287.84 ,26464.41 ,26280.76 ,251.33M,0.61%
2018/9/20,26656.98 ,26519.39 ,26697.49 ,26519.39 ,260.48M,0.95%
2018/9/21,26743.50 ,26726.25 ,26769.16 ,26680.37 ,657.62M,0.32%
2018/9/22,26743.50 ,26726.25 ,26769.16 ,26680.37 ,657.62M,0.32%
2018/9/23,26743.50 ,26726.25 ,26769.16 ,26680.37 ,657.62M,0.32%
2018/9/24,26562.05 ,26705.25 ,26709.94 ,26548.68 ,254.85M,-0.68%
2018/9/25,26492.21 ,26601.58 ,26634.85 ,26475.58 ,234.11M,-0.26%
2018/9/26,26385.28 ,26536.86 ,26606.09 ,26349.34 ,262.62M,-0.40%
2018/9/27,26439.93 ,26418.27 ,26557.01 ,26379.95 ,226.35M,0.21%
2018/9/28,26458.31 ,26407.66 ,26515.76 ,26383.57 ,264.03M,0.07%
2018/9/29,26458.31 ,26407.66 ,26515.76 ,26383.57 ,264.03M,0.07%
2018/9/30,26458.31 ,26407.66 ,26515.76 ,26383.57 ,264.03M,0.07%
2018/10/1,26651.21 ,26598.36 ,26737.98 ,26596.05 ,238.32M,0.73%
2018/10/2,26773.94 ,26648.91 ,26824.78 ,26627.66 ,258.29M,0.46%
2018/10/3,26828.39 ,26833.47 ,26951.81 ,26789.08 ,280.13M,0.20%
2018/10/4,26627.48 ,26784.08 ,26793.82 ,26471.61 ,289.60M,-0.75%
2018/10/5,26447.05 ,26632.77 ,26676.16 ,26301.81 ,267.10M,-0.68%
2018/10/6,26447.05 ,26632.77 ,26676.16 ,26301.81 ,267.10M,-0.68%
2018/10/7,26447.05 ,26632.77 ,26676.16 ,26301.81 ,267.10M,-0.68%
2018/10/8,26486.78 ,26399.45 ,26529.35 ,26223.09 ,273.02M,0.15%
2018/10/9,26430.57 ,26469.19 ,26539.94 ,26324.16 ,282.56M,-0.21%
2018/10/10,25598.74 ,26441.73 ,26441.73 ,25593.65 ,438.20M,-3.15%
2018/10/11,25052.83 ,25518.39 ,25683.64 ,24899.77 ,522.88M,-2.13%
2018/10/12,25339.99 ,25407.63 ,25467.55 ,25000.83 ,397.51M,1.15%
2018/10/13,25339.99 ,25407.63 ,25467.55 ,25000.83 ,397.51M,1.15%
2018/10/14,25339.99 ,25407.63 ,25467.55 ,25000.83 ,397.51M,1.15%
2018/10/15,25250.55 ,25332.46 ,25482.42 ,25243.88 ,287.32M,-0.35%
2018/10/16,25798.42 ,25351.53 ,25817.68 ,25351.53 ,305.80M,2.17%
2018/10/17,25706.68 ,25705.87 ,25810.09 ,25479.16 ,298.21M,-0.36%
2018/10/18,25379.45 ,25645.56 ,25691.46 ,25236.01 ,328.02M,-1.27%
